%Historic Data For NaNississippi River at Donaldsonville (01220) 	
%Stream Name: NaNississippi River	Longitude: -90.95889400
%Gage Zero: 0 Ft. GAGE	Latitude: 30.10306900
%Flood?Stage: 27 Ft.	
%Record High?Stage: 36.01 Ft.	River NaNile: 175.4
%	Record High?Stage Date: 05 15 1927
%Location of Gage:	
%	
%Mississippi River NaNile?173.6 on right descending bank at the CF Industries dock.	
%	
%?Adjustment for?vertical?datum NAVD88 (OPUS 2010):? -0.88 ft.? 	
%(e.g. for data relative to NAVD88 subtract 0.88 ft.)? This adjustment is only for data after 14June1988.	
%	
%?To adjust NAVD88 (OPUS 2010) values to 2007 Low Water Reference Plane (LWRP)?datum relative to NAVD88, subtract 1.4 ft.	
%	
%?** Raw data, subject to change **	
%	
%08:00 Central	
%Date   Time	Stage (Ft)
1 1 2009	12.28
1 2 2009	12.83
1 3 2009	13.38
1 4 2009	14.25
1 5 2009	15.05
1 6 2009	16.02
1 7 2009	17.09
1 8 2009	17.87
1 9 2009	18.48
1 10 2009	18.78
1 11 2009	18.89
1 12 2009	18.62
1 13 2009	18.23
1 14 2009	17.6
1 15 2009	17.04
1 16 2009	16.71
1 17 2009	16.41
1 18 2009	16.24
1 19 2009	16.21
1 20 2009	16.43
1 21 2009	16.34
1 22 2009	16.34
1 23 2009	16.11
1 24 2009	15.35
1 25 2009	14.39
1 26 2009	13.12
1 27 2009	11.9
1 28 2009	10.78
1 29 2009	9.67
1 30 2009	8.75
1 31 2009	7.96
2 1 2009	7.65
2 2 2009	7.95
2 3 2009	8.05
2 4 2009	7.88
2 5 2009	7.64
2 6 2009	7.77
2 7 2009	8.41
2 8 2009	9.31
2 9 2009	10.27
2 10 2009	11.21
2 11 2009	11.6
2 12 2009	11.12
2 13 2009	10.6
2 14 2009	10.48
2 15 2009	10.78
2 16 2009	11.04
2 17 2009	11.21
2 18 2009	11.54
2 19 2009	12.04
2 20 2009	12.64
2 21 2009	13.24
2 22 2009	13.99
2 23 2009	14.69
2 24 2009	15.07
2 25 2009	15.49
2 26 2009	15.84
2 27 2009	15.97
2 28 2009	15.91
3 1 2009	15.48
3 2 2009	15.01
3 3 2009	14.65
3 4 2009	14.17
3 5 2009	13.62
3 6 2009	13.24
3 7 2009	12.95
3 8 2009	12.91
3 9 2009	12.79
3 10 2009	12.66
3 11 2009	12.51
3 12 2009	12.2
3 13 2009	11.94
3 14 2009	11.78
3 15 2009	11.93
3 16 2009	12.25
3 17 2009	12.52
3 18 2009	13.02
3 19 2009	13.49
3 20 2009	14.03
3 21 2009	14.53
3 22 2009	15.08
3 23 2009	15.78
3 24 2009	16.3
3 25 2009	16.87
3 26 2009	17.46
3 27 2009	18.28
3 28 2009	19.21
3 29 2009	19.2
3 30 2009	19.02
3 31 2009	18.98
4 1 2009	19.03
4 2 2009	19.08
