# ---------------------------------- WARNING ----------------------------------------                     
# Some of the data that you have obtained from this U.S. Geological Survey database                       
# may not have received Director's approval. Any such data values are qualified                           
# as provisional and are subject to revision. Provisional data are released on the                        
# condition that neither the USGS nor the United States Government may be held liable                     
# for any damages resulting from its use.                                                                 
#                                                                                                         
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement                    
#                                                                                                         
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output                
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals                      
#                                                                                                         
# Contact:   gs-w_support_nwisweb@usgs.gov                                                                
# retrieved: 2020-03-26 16:02:43 EDT       (nadww02)                                                      
#                                                                                                         
# Data for the following 1 site(s) are contained in this file                                             
#    USGS 07374525 Mississippi River at Belle Chasse, LA                                                  
# -----------------------------------------------------------------------------------                     
#                                                                                                         
# Data provided for site 07374525                                                                         
#            TS   parameter     statistic     Description                                                 
#         61181       00065     00003     Gage height, feet (Mean)                                        
#         61182       00060     00003     Discharge, cubic feet per second (Mean)                         
#                                                                                                         
# Data-value qualification codes included in this output:                                                 
#                                                                                                         
#     A  Approved for publication -- Processing and review completed.                                     
#     P  Provisional data subject to revision.                                                            
#     e  Value has been estimated.                                                                        
#                                                                                                         
agency_cd	site_no	datetime	61181_00065_00003	61181_00065_00003_cd	61182_00060_00003	61182_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s                                                                               
USGS	07374525	2009-01-01	10.11	A	538000	A                                                             
USGS	07374525	2009-01-02	10.37	A	544000	A                                                             
USGS	07374525	2009-01-03	10.62	A	554000	A                                                             
USGS	07374525	2009-01-04	10.90	A	576000	A                                                             
USGS	07374525	2009-01-05	11.18	A	607000	A                                                             
USGS	07374525	2009-01-06	11.66	A	637000	A                                                             
USGS	07374525	2009-01-07	11.89	A	694000	A                                                             
USGS	07374525	2009-01-08	12.26	A	721000	A                                                             
USGS	07374525	2009-01-09	12.60	A	721000	A                                                             
USGS	07374525	2009-01-10	12.92	A	739000	A                                                             
USGS	07374525	2009-01-11	12.89	A	780000	A                                                             
USGS	07374525	2009-01-12	12.96	A	719000	A                                                             
USGS	07374525	2009-01-13	12.69	A	716000	A                                                             
USGS	07374525	2009-01-14	12.44	A	667000	A                                                             
USGS	07374525	2009-01-15	12.16	A	662000	A                                                             
USGS	07374525	2009-01-16	12.03	A	639000	A                                                             
USGS	07374525	2009-01-17	11.92	A	620000	A                                                             
USGS	07374525	2009-01-18	11.90	A	637000	A                                                             
USGS	07374525	2009-01-19	11.91	A	642000	A                                                             
USGS	07374525	2009-01-20	11.85	A	659000	A                                                             
USGS	07374525	2009-01-21	11.83	A	632000	A                                                             
USGS	07374525	2009-01-22	11.87	A	618000	A                                                             
USGS	07374525	2009-01-23	11.78	A	617000	A                                                             
USGS	07374525	2009-01-24	11.49	A	594000	A                                                             
USGS	07374525	2009-01-25	11.04	A	573000	A                                                             
USGS	07374525	2009-01-26	10.56	A	523000	A                                                             
