   0.00000000               1           1
   0.00000000               2           1
   0.00000000               3           1
   300.000000               1           1           3
   300.000000               2           1           3
   300.000000               3           1           3
   600.000000               1           1           7
   600.000000               2           1           7
   600.000000               3           1           7
   900.000000               1           1          11
   900.000000               2           1          11
   900.000000               3           1          11
   1200.00000               1           1          15
   1200.00000               2           1          15
   1200.00000               3           1          15
   1500.00000               1           1          19
   1500.00000               2           1          19
   1500.00000               3           1          19
   1800.00000               1           1          23
   1800.00000               2           1          23
   1800.00000               3           1          23
   2100.00000               1           1          27
   2100.00000               2           1          27
   2100.00000               3           1          27
   2400.00000               1           1          31
   2400.00000               2           1          31
   2400.00000               3           1          31
   2700.00000               1           1          35
   2700.00000               2           1          35
   2700.00000               3           1          35
   3000.00000               1           1          40
   3000.00000               2           1          40
   3000.00000               3           1          40
   3300.00000               1           1          45
   3300.00000               2           1          45
   3300.00000               3           1          45
   3600.00000               1           1          50
   3600.00000               2           1          50
   3600.00000               3           1          50
   3900.00000               1           1          55
   3900.00000               2           1          55
   3900.00000               3           1          55
   4200.00000               1           1          60
   4200.00000               2           1          60
   4200.00000               3           1          60
   4500.00000               1           1          65
   4500.00000               2           1          65
   4500.00000               3           1          65
   4800.00000               1           1          70
   4800.00000               2           1          70
   4800.00000               3           1          70
   5100.00000               1           1          75
   5100.00000               2           1          75
   5100.00000               3           1          75
   5400.00000               1           1          80
   5400.00000               2           1          80
   5400.00000               3           1          80
   5700.00000               1           1          85
   5700.00000               2           1          85
   5700.00000               3           1          85
   6000.00000               1           1          90
   6000.00000               2           1          90
   6000.00000               3           1          90
   6300.00000               1           1          95
   6300.00000               2           1          95
   6300.00000               3           1          95
   6600.00000               1           1         100
   6600.00000               2           1         100
   6600.00000               3           1         100
   6900.00000               1           1         105
   6900.00000               2           1         105
   6900.00000               3           1         105
   7200.00000               1           1         110
   7200.00000               2           1         110
   7200.00000               3           1         110
   7500.00000               1           1         115
